분류,사업명,주관기관,지원규모,지역,산업분야,매출액(억원),고용인원(명),상태,공고링크,문의처
"기술개발지원, 금융지원",인구감소지역기업 경쟁력강화사업,경북테크노파크,"최대 5,000만원/15개사","고령군, 문경시, 봉화군, 상주시, 성주군, 안동시, 영덕군, 영양군, 영천시, 영주시, 울릉군, 울진군, 의성군, 청도군, 청송군",제조업,10,0,공고중,gbtp.or.kr/user/boardDetail.do?bbsId=BBSMSTR_000000000021&nttNo=10795,053-819-3052
기술개발지원,경북 중소기업 정부기술개발 공모사업 선정 지원,경북테크노파크,최대 450만원/100건,"경산시, 경주시, 고령군, 구미시, 김천시, 문경시, 봉화군, 상주시, 성주군, 안동시, 영덕군, 영양군, 영주시, 영천시, 예천군, 울릉군, 울진군, 의성군, 청도군, 청송군, 칠곡군, 포항시",제조업,0,0,공고중,gbtp.or.kr/user/boardDetail.do?bbsId=BBSMSTR_000000000021&nttNo=10740,053-819-3062
기타 지원,상주시 중소기업 맞춤형 인재양성 지원사업,경북테크노파크,"최대 1,000만원/8개사내외",상주시,제조업,5,5,공고전,,053-819-3053
"창업지원, 소상공인지원",소상공인지원사업,경북테크노파크,"최대 1,000만원/10개사","경산시, 경주시, 고령군, 구미시, 김천시, 문경시, 봉화군, 상주시, 성주군, 안동시, 영덕군, 영양군, 영주시, 영천시, 예천군, 울릉군, 울진군, 의성군, 청도군, 청송군, 칠곡군, 포항시",제조업,0,0,공고전,,053-819-3073
